Hand,Played,Won,Even,Lost
AAAAK,2577,99.8%,0.0%,0.2%
AAAAQ,2553,99.6%,0.0%,0.4%
AAAAJ,2559,99.7%,0.0%,0.3%
AAAAT,2626,99.6%,0.0%,0.4%
AAAKK,15518,92.4%,4.3%,3.3%
AAAKQ,41486,76.9%,16.2%,7.0%
AAAKJ,41361,76.4%,16.0%,7.6%
AAAKT,41328,75.8%,15.8%,8.4%
AAAQQ,15541,88.2%,5.1%,6.7%
AAAQJ,41614,74.9%,16.0%,9.2%
AAAQT,41062,74.9%,15.5%,9.6%
AAAJJ,15538,85.4%,5.6%,9.0%
AAAJT,41155,74.0%,15.2%,10.9%
AAATT,15404,81.9%,6.8%,11.2%
AAKKK,15330,87.1%,5.0%,7.9%
AAKKQ,92363,47.0%,17.6%,35.4%
AAKKJ,92767,46.7%,17.8%,35.4%
AAKKT,93142,46.9%,17.9%,35.2%
AAKQQ,92716,44.2%,18.6%,37.3%
AAKQJ,247120,32.7%,28.7%,38.6%
AAKQT,247756,33.0%,28.4%,38.6%
AAKJJ,92887,42.7%,18.4%,39.0%
AAKJT,248282,32.3%,28.1%,39.6%
AAKTT,92638,41.7%,18.3%,40.0%
AAQQQ,15570,83.5%,4.5%,12.0%
AAQQJ,92936,44.3%,17.7%,38.0%
AAQQT,93077,44.4%,17.3%,38.3%
AAQJJ,93055,41.9%,18.0%,40.1%
AAQJT,248043,31.9%,27.8%,40.3%
AAQTT,92416,40.8%,17.9%,41.3%
AAJJJ,15397,79.9%,4.3%,15.8%
AAJJT,93300,42.1%,16.7%,41.2%
AAJTT,92431,40.0%,17.2%,42.8%
AATTT,15488,74.9%,4.0%,21.1%
AKKKK,2541,99.4%,0.0%,0.6%
AKKKQ,41516,70.9%,16.4%,12.7%
AKKKJ,41139,70.9%,15.8%,13.3%
AKKKT,41168,69.8%,16.2%,14.0%
AKKQQ,92444,40.8%,19.0%,40.2%
AKKQJ,247709,30.9%,28.2%,40.9%
AKKQT,247366,31.0%,28.3%,40.8%
AKKJJ,92862,39.2%,18.9%,41.9%
AKKJT,248199,30.2%,27.8%,42.0%
AKKTT,92782,37.8%,18.7%,43.5%
AKQQQ,41018,64.6%,16.4%,19.0%
AKQQJ,247187,28.6%,28.2%,43.2%
AKQQT,248238,29.0%,27.9%,43.1%
AKQJJ,248106,27.9%,27.7%,44.4%
AKQJT,660465,24.8%,35.7%,39.5%
AKQTT,247551,27.5%,27.4%,45.0%
AKJJJ,41374,62.6%,15.9%,21.4%
AKJJT,247365,28.0%,27.3%,44.7%
AKJTT,247189,26.7%,27.3%,46.0%
AKTTT,41291,60.6%,15.9%,23.6%
AQQQQ,2598,98.9%,0.0%,1.1%
AQQQJ,41499,68.5%,15.9%,15.6%
AQQQT,41492,67.9%,15.6%,16.5%
AQQJJ,92576,37.3%,17.9%,44.8%
AQQJT,247496,29.2%,27.7%,43.0%
AQQTT,92756,35.7%,17.8%,46.5%
AQJJJ,41364,61.8%,16.1%,22.2%
AQJJT,247781,27.5%,27.3%,45.2%
AQJTT,247078,26.3%,27.0%,46.7%
AQTTT,41575,59.3%,16.1%,24.6%
AJJJJ,2554,99.1%,0.0%,0.9%
AJJJT,41631,66.0%,15.4%,18.6%
AJJTT,93322,33.6%,16.9%,49.5%
AJTTT,41465,59.2%,15.5%,25.2%
ATTTT,2552,98.9%,0.0%,1.1%
KKKKQ,2683,99.7%,0.0%,0.3%
KKKKJ,2660,99.7%,0.0%,0.3%
KKKKT,2582,99.5%,0.0%,0.5%
KKKQQ,15599,86.0%,4.5%,9.5%
KKKQJ,41318,73.3%,15.3%,11.4%
KKKQT,41116,72.9%,15.3%,11.8%
KKKJJ,15502,82.6%,5.3%,12.1%
KKKJT,41365,71.7%,15.2%,13.0%
KKKTT,15433,79.4%,6.1%,14.5%
KKQQQ,15813,80.1%,5.0%,14.8%
KKQQJ,93169,41.6%,17.2%,41.1%
KKQQT,92570,42.2%,17.0%,40.8%
KKQJJ,93080,38.8%,17.6%,43.6%
KKQJT,247341,30.9%,27.7%,41.4%
KKQTT,92712,38.1%,17.4%,44.5%
KKJJJ,15484,76.5%,4.9%,18.6%
KKJJT,93032,39.3%,16.3%,44.3%
KKJTT,93310,37.3%,17.0%,45.6%
KKTTT,15445,72.4%,4.6%,23.0%
KQQQQ,2626,98.9%,0.0%,1.1%
KQQQJ,41276,67.1%,16.0%,16.9%
KQQQT,40957,66.5%,15.6%,17.9%
KQQJJ,93351,36.1%,17.5%,46.4%
KQQJT,248264,28.7%,27.6%,43.7%
KQQTT,92142,34.8%,17.4%,47.9%
KQJJJ,41264,60.6%,16.2%,23.2%
KQJJT,247719,26.7%,27.2%,46.1%
KQJTT,247911,25.3%,27.0%,47.6%
KQTTT,41031,58.5%,15.4%,26.2%
KJJJJ,2620,98.9%,0.0%,1.1%
KJJJT,41206,64.4%,15.3%,20.3%
KJJTT,92539,32.4%,16.5%,51.1%
KJTTT,41221,58.1%,15.3%,26.6%
KTTTT,2627,98.9%,0.0%,1.1%
QQQQJ,2655,99.6%,0.0%,0.4%
QQQQT,2536,99.6%,0.0%,0.4%
QQQJJ,15446,79.3%,5.2%,15.5%
QQQJT,41231,70.1%,14.8%,15.0%
QQQTT,15567,77.1%,6.0%,16.9%
QQJJJ,15637,72.8%,5.7%,21.5%
QQJJT,93093,37.0%,16.0%,47.0%
QQJTT,92266,34.3%,16.8%,48.9%
QQTTT,15544,69.1%,5.3%,25.6%
QJJJJ,2655,99.1%,0.0%,0.9%
QJJJT,41091,63.6%,14.9%,21.5%
QJJTT,93165,31.5%,16.5%,52.0%
QJTTT,41437,57.3%,15.2%,27.6%
QTTTT,2614,99.2%,0.0%,0.8%
JJJJT,2584,99.4%,0.0%,0.6%
JJJTT,15479,74.2%,5.3%,20.4%
JJTTT,15212,68.1%,5.7%,26.2%
JTTTT,2535,98.8%,0.0%,1.2%
