Hand,Played,Won,Even,Lost
AAAAK,2562,98.3%,0.0%,1.7%
AAAAQ,2630,98.3%,0.0%,1.7%
AAAAJ,2654,98.0%,0.0%,2.0%
AAAAT,2629,98.3%,0.0%,1.7%
AAAKK,15421,66.5%,9.8%,23.7%
AAAKQ,41187,52.4%,18.7%,28.9%
AAAKJ,41124,51.5%,18.7%,29.8%
AAAKT,41352,51.3%,18.7%,30.1%
AAAQQ,15585,63.0%,10.6%,26.4%
AAAQJ,41365,51.5%,17.9%,30.6%
AAAQT,41132,50.8%,18.0%,31.1%
AAAJJ,15626,59.2%,11.2%,29.6%
AAAJT,41292,50.3%,18.0%,31.7%
AAATT,15584,56.6%,11.2%,32.2%
AAKKK,15553,58.9%,12.9%,28.2%
AAKKQ,93158,28.8%,16.0%,55.2%
AAKKJ,92140,28.7%,16.1%,55.1%
AAKKT,93054,28.8%,16.1%,55.1%
AAKQQ,92729,25.0%,16.2%,58.9%
AAKQJ,248191,19.9%,18.4%,61.7%
AAKQT,247948,20.1%,18.1%,61.7%
AAKJJ,92689,24.3%,15.9%,59.8%
AAKJT,247706,20.1%,18.1%,61.7%
AAKTT,93028,23.7%,15.6%,60.6%
AAQQQ,15391,52.1%,12.1%,35.8%
AAQQJ,93074,27.2%,15.6%,57.2%
AAQQT,93175,27.3%,15.6%,57.1%
AAQJJ,93275,24.4%,15.7%,59.9%
AAQJT,248125,19.9%,17.8%,62.2%
AAQTT,92646,23.5%,15.1%,61.5%
AAJJJ,15339,47.7%,11.4%,40.9%
AAJJT,92818,26.2%,15.2%,58.6%
AAJTT,93324,23.5%,15.3%,61.2%
AATTT,15613,43.6%,10.7%,45.7%
AKKKK,2617,96.5%,0.0%,3.5%
AKKKQ,41071,44.3%,18.6%,37.1%
AKKKJ,41299,43.4%,18.7%,37.9%
AKKKT,41202,43.2%,18.8%,38.0%
AKKQQ,92713,22.1%,16.4%,61.4%
AKKQJ,248166,18.7%,17.9%,63.4%
AKKQT,247803,18.7%,17.8%,63.5%
AKKJJ,92906,21.2%,16.2%,62.6%
AKKJT,246891,18.5%,17.8%,63.7%
AKKTT,92779,20.6%,15.8%,63.6%
AKQQQ,41416,35.2%,18.5%,46.3%
AKQQJ,247647,17.3%,17.5%,65.2%
AKQQT,246978,17.3%,17.5%,65.2%
AKQJJ,248103,16.3%,17.1%,66.6%
AKQJT,661356,16.1%,18.1%,65.8%
AKQTT,247588,16.4%,17.1%,66.5%
AKJJJ,41284,32.9%,17.9%,49.2%
AKJJT,248648,17.4%,17.3%,65.3%
AKJTT,248069,16.3%,17.0%,66.6%
AKTTT,41567,30.8%,17.3%,51.9%
AQQQQ,2601,96.0%,0.0%,4.0%
AQQQJ,41297,40.0%,18.2%,41.8%
